column0,selfRM,type,UT,MOD,TRIG,HZ,SEPS,ANGS,AMPS,ts,fps,emGain,exptime,l_selfRM,l_fps,l_SEPS,l_ANGS,l_AMPS,l_MOD,Target,target,spec_type,Gia_G,G-V,V-Ic,I_c,I_c_wave,mag_V,wav_V,mag_I,wav_I
16,selfRM_20230316_0055_BetaPic_spark_020amps_22seps.fits,SKY,2023-03-16 0:57:13,TRUE,TRUE,,22,-20,0.02,2023-03-16 0:57:13,1800,250,0,selfRM_20230316_LAB_spark_1800_020amps_22seps_n20angs.fits,1800,22,-20,0.02,TRUE,BetaPic,BetaPic,A6V,3.823242,-0.02,0.197,3.646242,786.5,3.86,551,3.58,806
17,selfRM_20230316_0250_BetaPic_spark_020amps_22seps.fits,SKY,2023-03-16 2:50:34,TRUE,TRUE,,22,-20,0.02,2023-03-16 2:50:29,1800,250,0,selfRM_20230316_LAB_spark_1800_020amps_22seps_n20angs.fits,1800,22,-20,0.02,TRUE,BetaPic,BetaPic,A6V,3.823242,-0.02,0.197,3.646242,786.5,3.86,551,3.58,806
18,selfRM_20230316_0305_BetaPic_spark_020amps_22seps.fits,SKY,2023-03-16 3:08:44,TRUE,TRUE,,22,-20,0.02,2023-03-16 3:08:41,1800,250,0,selfRM_20230316_LAB_spark_1800_020amps_22seps_n20angs.fits,1800,22,-20,0.02,TRUE,BetaPic,BetaPic,A6V,3.823242,-0.02,0.197,3.646242,786.5,3.86,551,3.58,806
2,selfRM_20230305_06_betaPic_sparkles_triggered.fits,SKY,2023-03-07 3:53:54,TRUE,TRUE,,20,0,0.02,2023-03-07 3:53:51,1800,100,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,BetaPic,BetaPic,A6V,3.823242,-0.02,0.197,3.646242,786.5,3.86,551,3.58,806
3,selfRM_20230307_08_betaPic_sparkles_trigger_sep20_amp02.fits,SKY,2023-03-08 2:17:37,TRUE,TRUE,,20,0,0.02,2023-03-08 2:17:37,1800,60,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,BetaPic,BetaPic,A6V,3.823242,-0.02,0.197,3.646242,786.5,3.86,551,3.58,806
29,selfRM_20230317_BPIC_OLD.fits,SKY,2023-03-17 3:09:33,TRUE,TRUE,,20,45,0.02,2023-03-17 3:09:30,1800,250,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,BetaPic,BetaPic,A6V,3.823242,-0.02,0.197,3.646242,786.5,3.86,551,3.58,806
15,selfRM_20230313_14_HD100546_sep15_amp016.fits,SKY,2023-03-14 5:51:29,TRUE,TRUE,,15,0,0.016283,2023-03-14 5:51:28,1800,600,0,selfRM_20230315_LAB_spark_1800_016amps_15seps.fits,1800,15,0,0.016,TRUE,HD100546,HD100546,A0VaekB8_lB,6.685849,0.015,0.004,6.666849,786.5,6.3,551,6.64,806
11,selfRM_20230312_13_HD106906_sep15_amp_02.fits,SKY,2023-03-13 4:15:33,TRUE,TRUE,,15,0,0.02,2023-03-13 4:15:32,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,1800,15,0,0.02,TRUE,HD106906,HD106906,F5V ,7.699254,-0.11,0.506,7.303254,786.5,8.89,551,,752
30,selfRM_20230317_HD142527.fits,BAD,2023-03-17 3:09:33,TRUE,TRUE,,20,45,0.02,2023-03-17 3:09:30,1800,250,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD142527,HD142527,F6III,8.114528,-0.13,0.553,7.691528,786.5,8.34,551,,
19,selfRM_20230316_HD143006_spark_020amps_20seps.fits,SKY,2023-03-16 10:24:36,TRUE,TRUE,,20,0,0.02,2023-03-16 10:24:34,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD143006,HD143006,G5IVe,9.889212,-0.179,0.738,9.330212,786.5,10.14,551,8.7,806
14,selfRM_20230312_13_PSF-HD144271_sep13_amp02.fits,SKY,2023-03-13 10:20:47,TRUE,TRUE,,15,0,0.02,2023-03-13 10:20:46,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,1800,15,0,0.02,TRUE,HD144271,HD144271,A2V,6.828597,0,0.091,6.737597,786.5,6.86,551,,
35,selfRM_20221212_13_HD15115_001.fits,SKY,2022-12-13 3:32:20,TRUE,TRUE,,20,0,0.04,2022-12-13 3:32:18,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD15115,HD15115,F4IV,6.694463,-0.1,0.476,6.318463,786.5,6.8,551,6.33,806
33,selfRM_20221011_12_HD15115_001.fits,SKY,2022-12-12 1:49:06,FALSE,FALSE,,,,,2022-12-12 1:49:02,1800,600,0,selfRM_20230311_12_LAB_noSpark_1800_fullgains.fits,1800,,,,FALSE,HD15115,HD15115,F4IV,6.694463,-0.1,0.476,6.318463,786.5,6.8,551,6.33,806
9,selfRM_20230310_11_trig_sparkles_HD72946b_15ld_05.fits,SKY,2023-03-11 3:29:54,TRUE,TRUE,,15,0,0.05,2023-03-11 3:29:47,1800,600,0,selfRM_20230315_LAB_spark_1800_050amps_15seps.fits,1800,15,0,0.05,TRUE,HD72946,HD72946,G8-V,7.023851,-0.202,0.786,6.439851,786.5,6.7,658,,
7,selfRM_20230310_11_no_sparkles_HD72946b.fits,SKY,2023-03-11 3:32:47,FALSE,FALSE,,,,,2023-03-11 3:32:46,1800,600,0,selfRM_20230311_12_LAB_noSpark_1800_fullgains.fits,1800,,,,FALSE,HD72946,HD72946,G8-V,7.023851,-0.202,0.786,6.439851,786.5,6.7,658,,
8,selfRM_20230310_11_no_sparkles_HD72946b_lower_gain_02.fits,SKY,2023-03-11 3:35:57,FALSE,FALSE,,,,,2023-03-11 3:35:55,1800,600,0,selfRM_20230311_12_LAB_noSpark_1800_fullgains.fits,1800,,,,FALSE,HD72946,HD72946,G8-V,7.023851,-0.202,0.786,6.439851,786.5,6.7,658,,
21,selfRM_20230317_0354_HD95086.fits,SKY,2023-03-17 3:53:37,TRUE,TRUE,,20,0,0.02,2023-03-17 3:53:36,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
22,selfRM_20230317_0411_HD95086.fits,SKY,2023-03-17 4:14:27,TRUE,TRUE,,20,0,0.02,2023-03-17 4:14:25,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
23,selfRM_20230317_0426_HD95086.fits,SKY,2023-03-17 4:28:57,TRUE,TRUE,,20,0,0.02,2023-03-17 4:28:56,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
24,selfRM_20230317_0432_HD95086.fits,SKY,2023-03-17 4:34:56,TRUE,TRUE,,20,0,0.02,2023-03-17 4:34:54,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
25,selfRM_20230317_0440_HD95086.fits,SKY,2023-03-17 4:42:36,TRUE,TRUE,,20,0,0.02,2023-03-17 4:42:35,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
26,selfRM_20230317_0447_HD95086.fits,SKY,2023-03-17 4:50:16,TRUE,TRUE,,20,0,0.02,2023-03-17 4:50:14,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
27,selfRM_20230317_0457_HD95086.fits,SKY,2023-03-17 4:59:46,TRUE,TRUE,,20,0,0.02,2023-03-17 4:59:44,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
28,selfRM_20230317_0723_HD95086.fits,SKY,2023-03-17 7:23:46,TRUE,TRUE,,20,0,0.02,2023-03-17 7:23:45,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_20seps_1Hz.fits,1800,20,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
20,selfRM_20230316_HD95086_spark_020amps_15seps.fits,SKY,2023-03-16 7:02:33,TRUE,TRUE,,15,0,0.02,2023-03-16 7:02:26,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,1800,15,0,0.02,TRUE,HD95086,HD95086,A8III,7.324375,-0.04,0.288,7.076375,786.5,7.36,551,,
12,selfRM_20230312_13_HR2562_sep15_amp_02.fits,SKY,2023-03-13 2:20:16,TRUE,TRUE,,15,0,0.02,2023-03-13 2:20:06,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,1800,15,0,0.02,TRUE,HR2562,HR2562,F5VFe,6.004305,-0.11,0.506,5.608305,786.5,6.098,551,,
13,selfRM_20230312_13_HR2562_sep15_amp_02_05gains.fits,SKY,2023-03-13 2:25:26,TRUE,TRUE,,15,0,0.02,2023-03-13 2:25:24,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,1800,15,0,0.02,TRUE,HR2562,HR2562,F5VFe,6.004305,-0.11,0.506,5.608305,786.5,6.098,551,,
4,selfRM_20230309_10_HR4796a_sparkles.fits,SKY,2023-03-10 7:51:17,TRUE,TRUE,,15,0,0.02,2023-03-10 7:51:15,1800,600,0,selfRM_20230315_LAB_spark_1800_020amps_15seps.fits,1800,15,0,0.02,TRUE,HR4796a,HR4796a,A0V,5.783168,0.015,0.004,5.764168,786.5,5.774,551,5.81,806
1,selfRM_20230304_05_piPup_sparkles_triggered.fits,SKY,2023-03-05 5:18:55,TRUE,TRUE,,20,0,0.05,2023-03-05 5:18:54,1800,15,0,selfRM_20230315_LAB_spark_1800_050amps_20seps_1Hz.fits,1800,20,0,0.05,TRUE,piPup,piPup,K4III,1.9705,-0.42,1.182,1.2085,786.5,2.7,551,0.55,806
0,selfRM_20230304_05_piPup_sparkles_nottriggered.fits,SKY,2023-03-05 5:24:16,TRUE,FALSE,1799.821533,20,0,0.05,2023-03-05 5:24:14,1800,15,0,selfRM_20230315_LAB_spark_1800_050amps_20seps_1Hz.fits,1800,20,0,0.05,TRUE,piPup,piPup,K4III,1.9705,-0.42,1.182,1.2085,786.5,2.7,551,0.55,806
10,selfRM_20230311_12_TWA7_sparkles_sep15_amp02.fits,SKY,2023-03-12 3:01:06,TRUE,TRUE,,15,0,0.02,2023-03-12 3:01:05,1200,600,0,selfRM_20230311_12_LAB_spark_1200_020amps_20seps.fits,1200,20,0,0.02,TRUE,TWA7,TWA7,M2Ve,10.642358,-0.925,2.173,9.394358,786.5,10.91,551,9.1,806
32,selfRM_20221211_12_TYC4865-1113-1_001.fits,SKY,2022-12-11 2:21:36,TRUE,TRUE,,20,0,0.015,2022-12-11 2:21:35,1800,600,0,selfRM_20221211_12_LAB_008.fits,1800,20,0,0.015,TRUE,TYC4685-1113-1,TYC4685-1113-1,K0,9.311988,-0.227,0.853,8.685988,786.5,9.55,551,,
34,selfRM_20221211_12_TYC4865-1113-1_002.fits,SKY,2022-12-11 2:24:26,TRUE,TRUE,,20,0,0.015,2022-12-11 2:24:24,1800,600,0,selfRM_20221211_12_LAB_008.fits,1800,20,0,0.015,TRUE,TYC4685-1113-1,TYC4685-1113-1,K0,9.311988,-0.227,0.853,8.685988,786.5,9.55,551,,