column0,selfRM,type,UT,fps,emGain,target,Gia_G,spec_type,G-6535_color,calc_mag,mag_V,wav_V,mag_I,wav_I
0,selfRM_20230304_05_piPup_sparkles_nottriggered.fits,SKY,2023-03-05 5:24:16,1800,15,piPup,1.9705,K4III,-0.08889110518,1.881608895,2.7,551,0.55,806
1,selfRM_20230304_05_piPup_sparkles_triggered.fits,SKY,2023-03-05 5:18:55,1800,15,piPup,1.9705,K4III,-0.08889110518,1.881608895,2.7,551,0.55,806
2,selfRM_20230305_06_betaPic_sparkles_triggered.fits,SKY,2023-03-07 3:53:54,1800,100,betaPic,3.823242,A6V,-0.5990612479,3.224180752,3.86,551,3.58,806
3,selfRM_20230307_08_betaPic_sparkles_trigger_sep20_amp02.fits,SKY,2023-03-08 2:17:37,1800,60,betaPic,3.823242,A6V,-0.5990612479,3.224180752,3.86,551,3.58,806
5,selfRM_20230309_10_HR4796a_sparkles.fits,SKY,2023-03-10 7:51:17,1800,600,HR4796a,5.783168,A0V,-0.6806704267,5.102497573,5.774,551,5.81,806
9,selfRM_20230310_11_trig_sparkles_HD72946b_15ld_05.fits,SKY,2023-03-11 3:29:54,1800,600,HD72946,7.023851,G8-V,-0.2846524187,6.739198581,6.7,658,,
11,selfRM_20230312_13_HD106906_sep15_amp_02.fits,SKY,2023-03-13 4:15:33,1800,600,HD106906,7.699254,F5V ,-0.4368270626,7.262426937,8.89,551,,752
12,selfRM_20230312_13_HR2562_sep15_amp_02_05gains.fits,SKY,2023-03-13 2:25:26,1800,600,HR2562,6.004305,F5VFe,-0.4368270626,5.567477937,6.098,551,,
13,selfRM_20230312_13_HR2562_sep15_amp_02.fits,SKY,2023-03-13 2:20:16,1800,600,HR2562,6.004305,F5VFe,-0.4368270626,5.567477937,6.098,551,,
14,selfRM_20230312_13_PSF-HD144271_sep13_amp02.fits,SKY,2023-03-13 10:20:47,1800,600,HD144271,6.828597,A2V,-0.6691321084,6.159464892,6.86,551,,
16,selfRM_20230316_0055_BetaPic_spark_020amps_22seps.fits,SKY,2023-03-16 0:57:13,1800,250,BetaPic,3.823242,A6V,-0.5990612479,3.224180752,3.86,551,3.58,806
17,selfRM_20230316_0250_BetaPic_spark_020amps_22seps.fits,SKY,2023-03-16 2:50:34,1800,250,BetaPic,3.823242,A6V,-0.5990612479,3.224180752,3.86,551,3.58,806
18,selfRM_20230316_0305_BetaPic_spark_020amps_22seps.fits,SKY,2023-03-16 3:08:44,1800,250,BetaPic,3.823242,A6V,-0.5990612479,3.224180752,3.86,551,3.58,806
19,selfRM_20230316_HD143006_spark_020amps_20seps.fits,SKY,2023-03-16 10:24:36,1800,600,HD143006,9.889212,G5IVe,-0.3455638427,9.543648157,10.14,551,8.7,806
20,selfRM_20230316_HD95086_spark_020amps_15seps.fits,SKY,2023-03-16 7:02:33,1800,600,HD95086,7.324375,A8III,-0.5856345466,6.738740453,7.36,551,,
21,selfRM_20230317_0354_HD95086.fits,SKY,2023-03-17 3:53:37,1800,600,HD95086,7.324375,A8III,-0.5856345466,6.738740453,7.36,551,,
22,selfRM_20230317_0411_HD95086.fits,SKY,2023-03-17 4:14:27,1800,600,HD95086,7.324375,A8III,-0.5856345466,6.738740453,7.36,551,,
23,selfRM_20230317_0426_HD95086.fits,SKY,2023-03-17 4:28:57,1800,600,HD95086,7.324375,A8III,-0.5856345466,6.738740453,7.36,551,,
24,selfRM_20230317_0432_HD95086.fits,SKY,2023-03-17 4:34:56,1800,600,HD95086,7.324375,A8III,-0.5856345466,6.738740453,7.36,551,,
25,selfRM_20230317_0440_HD95086.fits,SKY,2023-03-17 4:42:36,1800,600,HD95086,7.324375,A8III,-0.5856345466,6.738740453,7.36,551,,
26,selfRM_20230317_0447_HD95086.fits,SKY,2023-03-17 4:50:16,1800,600,HD95086,7.324375,A8III,-0.5856345466,6.738740453,7.36,551,,
27,selfRM_20230317_0457_HD95086.fits,SKY,2023-03-17 4:59:46,1800,600,HD95086,7.324375,A8III,-0.5856345466,6.738740453,7.36,551,,
28,selfRM_20230317_0723_HD95086.fits,SKY,2023-03-17 7:23:46,1800,600,HD95086,7.324375,A8III,-0.5856345466,6.738740453,7.36,551,,